name,shuffle_feature,diff
explained variance,Background,0.0005609721706448615
explained variance,Clothes,-0.18388611003275357
explained variance,Earring,-0.02320005991476577
explained variance,Eyes,-0.16752506178178758
explained variance,Fur,-0.09416067693358036
explained variance,Hat,-0.1830982301335707
explained variance,Mouth,-0.1980807433763748
explained variance,TraitCount,-0.1364856498308657
r2,Background,0.000560972170644806
r2,Clothes,-0.1838861100327536
r2,Earring,-0.023200059914765803
r2,Eyes,-0.16752506178178753
r2,Fur,-0.09416067693358039
r2,Hat,-0.1830982301335707
r2,Mouth,-0.1980807433763749
r2,TraitCount,-0.13648564983086572
